keyID,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,abdelmounen_Doit_Etre_Ici,parent_M9AppCompt_KeyID,parent_M9AppCompt_DebugInfos,son_verification_entre_vent_et_achat_est_fait,credit_Vents_Totale,cash_Vents_Totale,credit_achats_Totale,cash_achats_Totale,credit_produitsAuDepot,valeur_Produits_depuit_Ancien_Vent_Period,acheter_produitsAuDepot,pre_fraits_voiture_essance_marche_et_paprasse,saved_balance,etateActuellementEst
-OfV9depUla1RBfTj1zP,1764697479842,1766471667010,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-OfVoPHbycLSepy6Rvzr,1764708426896,1766471667011,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-OfbytQs8jiS4ctBHeBF,1764828615391,1766471667011,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-OfgpuJO12E35BjwYbLj,1764910149348,1766471667012,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,23700.0,43000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,SoquetteNonDefinie
-OflygvAKkfZNnIFOevS,1764996337355,1766471667012,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-Ofr9B75A4Jm10IwWK-5,1765083234242,1766471667013,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-OfwhBSqwiiAzuqKGzq-,1765176296949,1766471667013,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-OfzgnRbgPWNzniUIZTe,1765226524204,1766471667013,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-Og0wX5rplAudfaXXQ0c,1765264204402,1766471667013,false,-OTmoNn0cljrRuhVR2s4,(M9=Abdelmoumenn[2S4]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-Og0wXdjpVatiycvRG4k,1765264206634,1766471667014,false,-OTmoNn0cljrRuhVR2s4,(M9=Abdelmoumenn[2S4]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-Og3zdGGI_6mFrDz-FDX,1765315350987,1766471667014,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
-OgQAeQDjv9nrfn6kZzn,1765687601321,1766471667021,false,-OV9dYujH9cA3yEx8AY2,(M9=Abdelwahab Travaille Chez Gross[AY2]),true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoquetteNonDefinie
